makine_turu,calisma_saati,genel_bakim_periyodu_saat,sicaklik_durumu,titresim_hissi,yag_seviyesi,genel_durum,sizinti_durumu,kablo_hasar_durumu,hidrolik_yag_durumu,rezistans_kokusu,bor_yag_rengi,spindle_titresim,alt_su_tahliye,mercek_temizligi,kaynak_torcu,kablo_sarmali,isik_bariyeri,sizma_kontrolu,termal_gozlem,sogutma_suyu,teflon_kontrolu,fotosel_algilama,Hedef_Ariza_Tipi,Hedef_Gercek_Yipranma
Talaşlı İmalat,977,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,12.21
Sac ve Şekillendirme,1843,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,23.04
Yardımcı Tesis,2958,5000,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,69.93
Döküm ve Isıl İşlem,3285,8000,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,62.72
Kalite Kontrol,2847,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,47.45
Otomasyon ve Robotik,5542,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,69.27
Otomasyon ve Robotik,5714,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,71.43
Sac ve Şekillendirme,3785,4000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,94.62
Plastik ve Enjeksiyon,4119,8000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,53.56
Sac ve Şekillendirme,5485,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,68.56
Otomasyon ve Robotik,7415,8000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,97.78
Otomasyon ve Robotik,4021,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,80.42
Kalite Kontrol,1146,5000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,48.71
Plastik ve Enjeksiyon,3424,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,42.8
Otomasyon ve Robotik,1430,4000,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,65.02
Otomasyon ve Robotik,6937,8000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,92.37
Döküm ve Isıl İşlem,5531,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,PWF,100.0
Sac ve Şekillendirme,1499,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,18.74
Döküm ve Isıl İşlem,1990,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yok,49.75
Kalite Kontrol,3989,4000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,99.72
Paketleme ve Lojistik,3940,8000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,53.17
Sac ve Şekillendirme,3784,5000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,75.68
Kalite Kontrol,5601,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,70.01
Talaşlı İmalat,672,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,13.44
Sac ve Şekillendirme,3324,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,41.55
Sac ve Şekillendirme,858,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,21.45
Plastik ve Enjeksiyon,2445,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,40.75
Plastik ve Enjeksiyon,149,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,3.72
Yardımcı Tesis,1487,4000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,44.55
Kalite Kontrol,4560,6000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,80.59
Paketleme ve Lojistik,931,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,15.52
Otomasyon ve Robotik,7789,8000,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Döküm ve Isıl İşlem,2850,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yok,57.0
Döküm ve Isıl İşlem,2957,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,73.92
Kalite Kontrol,752,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,18.8
Kalite Kontrol,862,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,21.55
Döküm ve Isıl İşlem,5854,8000,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Yok,75.63
Otomasyon ve Robotik,2706,5000,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,69.37
Kalite Kontrol,5563,6000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Talaşlı İmalat,5602,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,70.03
Plastik ve Enjeksiyon,3416,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,42.7
Kalite Kontrol,4795,8000,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,95.41
Plastik ve Enjeksiyon,3548,5000,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,76.61
Talaşlı İmalat,2533,6000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,46.97
Paketleme ve Lojistik,6719,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,83.99
Otomasyon ve Robotik,2196,5000,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,74.98
Talaşlı İmalat,1190,4000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,TWF,29.75
Talaşlı İmalat,613,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,12.26
Talaşlı İmalat,4273,6000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,74.05
Otomasyon ve Robotik,1724,6000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,69.69
Paketleme ve Lojistik,4010,6000,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,74.54
Otomasyon ve Robotik,6833,8000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Otomasyon ve Robotik,2157,8000,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,46.26
Paketleme ve Lojistik,6902,8000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,89.84
Otomasyon ve Robotik,3102,4000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,80.76
Otomasyon ve Robotik,4600,5000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,92.0
Plastik ve Enjeksiyon,4892,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,61.15
Paketleme ve Lojistik,1951,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,39.02
Talaşlı İmalat,5532,8000,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,OSF,100.0
Talaşlı İmalat,615,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,12.3
Yardımcı Tesis,2520,6000,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,66.85
Yardımcı Tesis,5158,6000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,90.86
Plastik ve Enjeksiyon,306,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,5.1
Paketleme ve Lojistik,3584,4000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,93.81
Sac ve Şekillendirme,2832,4000,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,95.95
Otomasyon ve Robotik,8696,8000,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Talaşlı İmalat,3133,4000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Yok,78.33
Döküm ve Isıl İşlem,2364,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,59.1
Talaşlı İmalat,2257,6000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Yok,37.62
Sac ve Şekillendirme,7776,8000,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,100.0
Yardımcı Tesis,5317,5000,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,PWF,100.0
Sac ve Şekillendirme,267,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,4.45
Otomasyon ve Robotik,220,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,4.4
Sac ve Şekillendirme,147,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,2.45
Otomasyon ve Robotik,2112,5000,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,59.98
Döküm ve Isıl İşlem,1133,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,18.88
Döküm ve Isıl İşlem,284,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,5.68
Otomasyon ve Robotik,1504,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,25.07
Kalite Kontrol,2480,6000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,46.94
Kalite Kontrol,559,5000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,15.95
Talaşlı İmalat,3852,4000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,99.78
Sac ve Şekillendirme,3542,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,44.27
Otomasyon ve Robotik,527,5000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,10.54
Otomasyon ve Robotik,615,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,15.38
Plastik ve Enjeksiyon,2895,4000,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,84.39
Döküm ve Isıl İşlem,275,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,3.44
Sac ve Şekillendirme,2370,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,39.5
Yardımcı Tesis,2186,5000,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,60.94
Sac ve Şekillendirme,3290,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,65.8
Talaşlı İmalat,5066,5000,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Talaşlı İmalat,4661,8000,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Yok,58.26
Otomasyon ve Robotik,4116,4000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Sac ve Şekillendirme,2465,4000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,67.13
Kalite Kontrol,7404,8000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,92.55
Sac ve Şekillendirme,3737,6000,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,83.75
Sac ve Şekillendirme,4367,4000,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,100.0
Paketleme ve Lojistik,475,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,9.5
Talaşlı İmalat,186,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,4.65
Talaşlı İmalat,95,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,1.19
Kalite Kontrol,3739,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,74.78
Plastik ve Enjeksiyon,5321,5000,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Plastik ve Enjeksiyon,1135,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,18.92
Talaşlı İmalat,578,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,14.45
Paketleme ve Lojistik,363,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,6.05
Plastik ve Enjeksiyon,2094,5000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,41.88
Döküm ve Isıl İşlem,4088,8000,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,OSF,81.3
Kalite Kontrol,3925,4000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Plastik ve Enjeksiyon,3309,6000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,55.15
Döküm ve Isıl İşlem,2847,4000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Yok,71.17
Kalite Kontrol,279,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,5.58
Talaşlı İmalat,1407,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,17.59
Yardımcı Tesis,1876,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,23.45
Paketleme ve Lojistik,3437,6000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,57.28
Yardımcı Tesis,2993,4000,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Yok,77.18
Döküm ve Isıl İşlem,4757,5000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,PWF,95.14
Kalite Kontrol,227,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,3.78
Paketleme ve Lojistik,3430,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,42.88
Talaşlı İmalat,4991,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,83.18
Plastik ve Enjeksiyon,6349,6000,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Otomasyon ve Robotik,3614,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,60.23
Plastik ve Enjeksiyon,8439,8000,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Otomasyon ve Robotik,1842,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,36.84
Talaşlı İmalat,5683,6000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,94.72
Sac ve Şekillendirme,3716,5000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,77.01
Paketleme ve Lojistik,5345,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,66.81
Paketleme ve Lojistik,7040,8000,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Döküm ve Isıl İşlem,2613,5000,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,75.57
Paketleme ve Lojistik,2435,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,60.88
Talaşlı İmalat,2494,6000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yok,41.57
Kalite Kontrol,1679,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,27.98
Otomasyon ve Robotik,1972,4000,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,88.02
Paketleme ve Lojistik,3006,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,60.12
Talaşlı İmalat,4113,6000,1,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,OSF,76.92
Otomasyon ve Robotik,1641,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,41.02
Kalite Kontrol,2042,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,25.52
Plastik ve Enjeksiyon,533,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,13.33
Sac ve Şekillendirme,5625,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,70.31
Sac ve Şekillendirme,1971,6000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,37.02
Paketleme ve Lojistik,3968,4000,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Otomasyon ve Robotik,6528,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,81.6
Döküm ve Isıl İşlem,2556,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,Yok,63.9
Sac ve Şekillendirme,2876,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,35.95
Kalite Kontrol,4763,6000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,79.38
Otomasyon ve Robotik,2252,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,45.04
Döküm ve Isıl İşlem,2546,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,50.92
Talaşlı İmalat,325,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,6.5
Otomasyon ve Robotik,1894,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,31.57
Döküm ve Isıl İşlem,832,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,20.8
Yardımcı Tesis,4297,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,85.94
Talaşlı İmalat,3233,4000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Yok,80.83
Yardımcı Tesis,4619,5000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yok,92.38
Yardımcı Tesis,5075,6000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,84.58
Otomasyon ve Robotik,2166,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,36.1
Kalite Kontrol,2781,5000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,55.62
Döküm ve Isıl İşlem,647,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,16.18
Yardımcı Tesis,1263,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,31.57
Talaşlı İmalat,2363,5000,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yok,51.97
Plastik ve Enjeksiyon,5415,5000,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Sac ve Şekillendirme,1209,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,15.11
Yardımcı Tesis,4284,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,53.55
Döküm ve Isıl İşlem,658,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,10.97
Talaşlı İmalat,2489,4000,1,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TWF,75.66
Yardımcı Tesis,5426,5000,2,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HDF,100.0
Kalite Kontrol,956,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,15.93
Sac ve Şekillendirme,1066,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,26.65
Döküm ve Isıl İşlem,4130,4000,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Talaşlı İmalat,1650,6000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,TWF,27.5
Paketleme ve Lojistik,821,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,13.68
Döküm ve Isıl İşlem,8274,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PWF,100.0
Talaşlı İmalat,957,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,23.93
Döküm ve Isıl İşlem,1030,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,25.75
Sac ve Şekillendirme,3297,4000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,84.53
Kalite Kontrol,5921,6000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Otomasyon ve Robotik,3666,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,73.32
Sac ve Şekillendirme,446,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,8.92
